tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047040900,3208290.0,1367.4418716690716,3805618.0,1773.26042540099,1945556.0,1422.7718909615637,2587308.0,2115.337872785159
36047116800,2453960.0,1127.5004382676486,3149404.0,1401.2011801011558,1850313.0,1347.7764238101483,2398097.0,1638.2869953978038
36047096600,1140303.0,533.8136254851129,3136582.0,1255.1010331590487,1388810.0,983.895532252644,1896253.0,1193.4006883162692
36047005202,1956488.0,757.3022979929162,1975963.0,764.5885544973546,567503.0,545.2821402197609,604853.0,560.6827789717418
36047042200,1774881.0,983.9461972734975,1833818.0,1008.1939716505397,1217575.0,1008.7411658635416,1434664.0,1096.1619464969212
36047073800,1719327.0,1041.3491554023017,2041159.0,1164.602424515616,1392667.0,1407.9255506306104,1873844.0,1616.164813582954
36047054600,2610804.0,1413.2809505735568,2971110.0,1561.97712641234,1331838.0,1388.4901157058107,1787354.0,1592.747512581182
36047017600,2275447.0,971.434222840235,2420279.0,1020.0551880478667,963403.0,868.113447599058,1400664.0,1032.4937823837215
36047028200,1285058.0,650.0727629475543,1441227.0,703.2977652276215,712131.0,727.1471215606904,1024022.0,842.7224091302637
36047031300,3690313.0,1803.7321101845089,3692640.0,1806.8923377464607,2544893.0,1986.1762309901735,2560329.0,2024.4417978606932
36047081000,3214948.0,1789.2627921532371,3219291.0,1792.8958907333488,1892712.0,1439.0233716659482,2005037.0,1490.529366627729
36047085800,2449710.0,1036.0352681113338,2516003.0,1060.3706502818332,1625698.0,1222.4529122650956,1761742.0,1280.355395711808
36047013500,3436885.0,2024.1520867483323,3453679.0,2030.1792023487812,2159196.0,1620.4639810165145,2217261.0,1641.50176239076
36047032500,3662421.0,2401.695538935844,3794532.0,2451.646803967109,1889929.0,1655.702688926786,2038923.0,1720.0460919664592
36047049400,3021429.0,1643.983804298187,3079408.0,1671.3923972206085,1582524.0,1431.0647360615017,1774845.0,1508.1396740540845
36047048800,2992786.0,1858.3586161545363,3139507.0,1910.9532374447424,1319140.0,1210.5302303096933,1368399.0,1231.583679296365
36047049000,2993875.0,1435.7688089403623,3274199.0,1550.439411578577,1230815.0,1155.578631341658,1496363.0,1280.2551710533494
36047049200,3113827.0,1435.8051390807686,3385311.0,1556.500461302366,1715398.0,1647.5083253962007,2102707.0,1849.2002648126288
36047049300,3749194.0,2868.556664343705,3956412.0,2949.437431425781,2529578.0,2078.7369654458416,2804611.0,2195.564239434127
36047049600,3367656.0,2328.327495018625,3558950.0,2420.1831559012094,1872774.0,1666.949720572453,2171415.0,1809.4050855885175
36047049700,4041431.0,3415.726032437339,4118663.0,3445.142039097218,2735796.0,2227.2240835200078,2796453.0,2257.027864225433
36047049800,2959578.0,1510.3130319213576,2983458.0,1519.9521156466749,1505635.0,1114.6110210628235,1707102.0,1195.1666341551988
36047049900,3669690.0,2466.8585395126274,3781508.0,2504.890512593259,2243447.0,1649.8898888434956,2298244.0,1669.5636241766251
36047050000,3065542.0,1591.3382639355834,3128183.0,1614.6267251296722,1623686.0,1361.5219734296163,1762762.0,1411.1049010459155
36047050100,3835707.0,3132.555817346418,3905987.0,3158.332719578385,2561637.0,2009.500442888585,2647740.0,2044.1343291434237
36047010400,3009518.0,1668.4126668957144,3380696.0,1891.6885435546976,1448930.0,1172.9476924845237,2128288.0,1729.9214669190355
